Position Bucket,Display Rank,Player,Team,Bye Week,Floor,Points,Ceiling,SD,Uncertainty,VOR,Drop Off,Tier,Age,ADP,AAV,Rank - Overall,Rank - Position,ECR,Injury Status,Points Spread,Experience
K,6,Jake Bates,DET,6,140,150,164,9.74,16,1.4,1.29,2,27,165,2.19,124,6,11,,24,3
K,7,Cam Little,JAC,7,143,149,161,7.39,6,0.113,0.113,2,23,150,2.59,129,7,4.95,,18,2
K,8,Will Reichard,MIN,6,141,149,160,7.98,52,0,0.113,2,25,182,1.33,130,8,15.3,,19,2
K,9,Tyler Loop,BAL,13,134,149,167,13.3,45,-0.113,0.748,2,25,170,1.46,132,9,8.05,,33,1
K,10,Harrison Mevis,LAR,11,134,148,159,12.3,58,-0.861,0.619,2,24,157,1.97,138,10,11.7,,25,2
K,11,Harrison Butker,KC,5,129,148,158,11.7,23,-1.48,0.994,2,31,175,1.83,143,11,14.4,,29,9
K,12,Wil Lutz,DEN,10,139,147,151,4.72,3,-2.47,1.35,2,32,171,1.25,147,12,16.1,,12,10
K,13,Blake Grupe,IND,13,134,145,169,14.9,81,-3.83,0.478,2,27,159,1.01,158,13,22,,35,3
K,14,Cairo Santos,CHI,10,126,145,163,14.1,32,-4.3,1.53,2,34,182,2.12,163,14,10.3,,37,12
K,15,Eddy Pineiro,SF,8,118,143,152,15.4,55,-5.83,6.25,3,30,168,1.54,171,15,7.78,,34,8
K,16,Nick Folk,ATL,11,113,137,171,22.8,90,-12.1,0.204,3,41,157,0.972,232,16,23.3,,58,19
K,17,Andres Borregales,NE,11,125,137,149,8.98,39,-12.3,0.282,3,23,209,1.9,233,17,12.2,,24,1
K,18,Charlie Smyth,NO,8,118,136,144,11.2,48,-12.6,0.72,3,25,170,0,238,18,18.4,,26,2
K,19,Jake Elliott,PHI,10,130,136,142,5.06,13,-13.3,0.28,3,31,171,1.6,247,19,20,,12,9
K,20,Trey Smack,GB,11,95.4,135,161,25.9,99,-13.6,0.219,3,23,191,2.38,251,20,23,,65.6,0
K,21,Tyler Bass,BUF,7,107,135,146,17,84,-13.8,0.504,3,29,192,1.43,254,21,19.7,,39,6
K,22,Chris Boswell,PIT,9,128,135,140,5.89,29,-14.3,0.179,3,35,180,1.42,261,22,13.6,,12,12
K,23,Evan McPherson,CIN,6,107,135,154,18.2,77,-14.5,3.65,3,27,178,1.26,264,23,10.2,,47,5
K,24,Chad Ryland,ARI,14,126,131,137,4.53,61,-18.1,2.64,4,26,170,0,300,24,23.1,,11,3
K,25,Joey Slye,TEN,9,121,128,139,9.59,68,-20.8,1.17,4,30,170,0,336,25,22.8,,18,7
K,26,Riley Patterson,MIA,6,105,127,137,13.5,65,-21.9,1.15,4,26,170,0,345,26,34.5,,32,5
K,27,Drew Stevens,WAS,7,103,126,140,15,97,-23.1,5.18,4,22,170,0,355,27,30.1,,37,0
K,28,Ryan Fitzgerald,CAR,5,99.7,121,131,13.4,71,-28.3,3.62,4,26,170,0,399,28,25,,31.3,1
K,29,Matt Gay,LVR,13,89.6,117,129,16.9,74,-31.9,3.27,5,32,169,0,418,29,31.3,,39.4,7
K,30,Andre Szmyt,CLE,11,89.7,114,127,15.7,42,-35.2,4.65,5,27,170,0,438,30,30.9,,37.3,3
K,31,Jason Sanders,NYJ,13,75.8,109,139,35.6,94,-39.8,2.63,5,30,170,0,481,31,30.1,,63.2,8
K,32,Ben Sauls,NYG,8,82.7,107,127,22.7,87,-42.4,14.7,6,25,,,514,32,27,,44.3,1
DST,1,Broncos,DEN,10,90.4,103,120,13,19,7.32,2.02,1,,103,2.93,92,1,2.89,,29.6,
DST,2,Texans,HOU,8,87.5,101,109,10.4,6,5.3,5.3,2,,99.4,3.95,102,2,1.37,,21.5,
DST,3,Seahawks,SEA,11,87.3,95.2,103,6.91,26,0,0.547,2,,115,2.33,130,3,3.76,,15.7,
DST,4,Chargers,LAC,7,87.1,94.7,108,9.71,23,-0.547,2.69,3,,156,0.94,135,4,10.2,,20.9,
DST,5,Vikings,MIN,6,85.1,92,105,9.57,35,-3.24,0.306,4,,148,0.81,151,5,8.33,,19.9,
DST,6,Bills,BUF,7,88.1,91.7,95.2,3.42,3,-3.55,0.0479,4,,166,0.8,153,6,15.6,,7.1,
DST,7,Rams,LAR,11,84.2,91.6,99.2,7.67,32,-3.6,1.42,5,,107,3.69,154,7,3.57,,15,
DST,8,Lions,DET,6,81.1,90.2,107,12.4,65,-5.02,1.61,6,,161,1.42,166,8,14.9,,25.9,
DST,9,Steelers,PIT,9,86.1,88.6,92.3,2.79,1,-6.62,0.493,6,,141,1.28,176,9,8.36,,6.2,
DST,10,Saints,NO,8,78.4,88.1,97.6,8.55,52,-7.12,0.177,6,,180,0,182,10,18.6,,19.2,
DST,11,Ravens,BAL,13,77.4,87.9,98.2,9.06,45,-7.29,0.7,7,,153,1.11,186,11,10.6,,20.8,
DST,12,Eagles,PHI,10,78.2,87.2,97.7,9.72,39,-7.99,0.105,7,,132,1.3,188,12,5.91,,19.5,
DST,13,Falcons,ATL,11,76.2,87.1,104,12.6,77,-8.1,0.73,8,,161,0,189,13,19.8,,27.8,
DST,14,Browns,CLE,11,81,86.4,93.7,6.77,42,-8.83,1.22,9,,175,0.9,198,14,15.4,,12.7,
DST,15,Commanders,WAS,7,65,85.2,97.4,15.4,94,-10,0.974,10,,170,0,207,15,26.7,,32.4,
DST,16,Bears,CHI,10,70.7,84.2,91.1,9.91,74,-11,0.715,11,,180,0.1,219,16,20.2,,20.4,
DST,17,Jaguars,JAC,7,80,83.5,90.6,5.35,10,-11.7,0.0302,11,,160,0.883,226,17,9.13,,10.6,
DST,18,Packers,GB,11,69.5,83.4,96.6,11.9,58,-11.8,0.238,11,,164,0.903,227,18,13.4,,27.1,
DST,19,Cowboys,DAL,14,71.3,83.2,101,12.7,99,-12,0.387,12,,183,0.1,230,19,20.8,,29.7,
DST,20,Bengals,CIN,6,72.4,82.8,90.9,8.45,81,-12.4,0.454,12,,170,0,234,20,24.1,,18.5,
DST,21,Titans,TEN,9,65,82.4,90,12.8,87,-12.8,0.549,13,,192,0,245,21,25.5,,25,
DST,22,Colts,IND,13,74.3,81.8,86.9,5.91,13,-13.4,0.0549,13,,170,0,248,22,19.3,,12.6,
DST,23,Giants,NYG,8,67.5,81.8,99.3,13.7,84,-13.5,0.188,13,,168,0.833,249,23,22.5,,31.8,
DST,24,Patriots,NE,11,69.4,81.6,94.2,11.3,61,-13.6,0.29,13,,146,1.33,253,24,7.96,,24.8,
DST,25,Buccaneers,TB,10,71.4,81.3,90.6,8.46,48,-13.9,0.382,13,,170,0.1,258,25,22.7,,19.2,
DST,26,Chiefs,KC,5,69.6,80.9,87.8,8.44,29,-14.3,1.47,14,,168,1.1,263,26,13.3,,18.2,
DST,27,Cardinals,ARI,14,66.4,79.4,90.8,11.9,16,-15.8,0.626,15,,170,0,277,27,31.2,,24.4,
DST,28,Raiders,LVR,13,63.8,78.8,85.5,11,71,-16.4,1.18,16,,170,0,282,28,27.9,,21.7,
DST,29,49ers,SF,8,65.3,77.6,92.6,12.9,68,-17.6,0.173,16,,170,0.7,290,29,19,,27.3,
DST,30,Dolphins,MIA,6,56,77.5,88.9,16.3,97,-17.8,1.55,17,,169,0,293,30,27.4,,32.9,
DST,31,Panthers,CAR,5,63.5,75.9,83,9.6,55,-19.3,0.462,17,,170,0.1,318,31,23.2,,19.5,
DST,32,Jets,NYJ,13,55.9,75.4,86.9,15,90,-19.8,0,17,,170,0,325,32,29.3,,31,
DL,1,Maxx Crosby,LVR,13,72.2,86.2,107,19.8,55,19.8,10.8,1,28,,19.5,65,1,3.31,,34.8,7
DL,2,Andrew Van Ginkel,MIN,6,60.7,75.4,99.6,22.7,77,9,2.27,1,31,,8.42,88,2,12.4,,38.9,7
DL,3,Andrew Van Ginkel,MIN,6,60.7,75.4,99.6,22.7,87,9,2.27,1,31,,8.42,88,2,46.7,,38.9,7
DL,4,Myles Garrett,LAR,11,60.8,73.1,87.9,14.4,22,6.72,1.27,1,30,73,19.5,96,3,1.15,Q,27.1,9
DL,5,Brian Burns,NYG,8,52.8,71.8,90.7,19.6,56,5.45,0.343,1,28,,11.9,101,4,8.08,,37.9,7
DL,6,Brian Burns,NYG,8,52.8,71.8,90.7,19.6,80,5.45,0.343,1,28,,11.9,101,4,42.6,,37.9,7
DL,7,Aidan Hutchinson,DET,6,65.1,71.5,81.3,9.19,1,5.11,0.12,1,26,,16.7,103,5,2.08,,16.2,4
DL,8,Aidan Hutchinson,DET,6,65.1,71.5,81.3,9.19,1,5.11,0.12,1,26,,16.7,103,5,2.08,,16.2,4
DL,9,Jeffery Simmons,TEN,9,53.8,71.4,99.1,26,93,4.99,0.671,1,29,,6.72,105,6,12.9,,45.3,7
DL,10,Chase Young,NO,8,60.1,70.7,81.1,10.9,8,4.32,2.74,1,27,,10.6,107,7,26.7,,21,6
DL,11,Nick Bosa,SF,8,57.6,67.9,86.2,17,39,1.58,0.902,1,28,,9.53,123,8,5.69,Q,28.6,7
DL,12,Byron Young,LAR,11,51,67,81.6,22.3,99,0.674,0.674,1,28,,5.86,127,9,,,30.6,3
DL,13,Alex Highsmith,PIT,9,57.1,66.4,82.2,14.8,30,0,0.595,1,29,,7.9,130,10,18.1,,25.1,6
DL,14,Alex Highsmith,PIT,9,57.1,66.4,82.2,14.8,48,0,0.595,1,29,,7.9,130,10,59.8,,25.1,6
DL,15,T.J. Watt,PIT,9,54.6,65.8,83.7,16.8,36,-0.595,0.273,1,31,,16.9,136,11,8.15,,29.1,9
DL,16,T.J. Watt,PIT,9,54.6,65.8,83.7,16.8,59,-0.595,0.273,1,31,,16.9,136,11,44.4,,29.1,9
DL,17,Jared Verse,CLE,11,56.1,65.5,79.3,13,15,-0.868,0.0674,1,25,,7.27,139,12,15.2,,23.2,2
DL,18,Jared Verse,CLE,11,56.1,65.5,79.3,13,47,-0.868,0.0674,1,25,,7.27,139,12,58.8,,23.2,2
DL,19,Will Anderson,HOU,8,55,65.4,81.5,15,29,-0.936,0.848,1,24,,10.9,140,13,3.62,,26.5,3
DL,20,Tuli Tuipulotu,LAC,7,57.1,64.6,75.8,10.5,5,-1.78,0.929,1,23,,10.7,144,14,15.8,,18.7,3
DL,21,Tuli Tuipulotu,LAC,7,57.1,64.6,75.8,10.5,21,-1.78,0.929,1,23,,10.7,144,14,55.6,,18.7,3
DL,22,Tommy Togiai,HOU,8,46.3,63.7,79.4,24,95,-2.71,0.0887,1,26,,2.83,148,15,109,,33.1,5
DL,23,Danielle Hunter,HOU,8,54.3,63.6,78.4,13.9,20,-2.8,3.84,2,31,,11.6,149,16,7,,24.1,11
DL,24,Danielle Hunter,HOU,8,54.3,63.6,78.4,13.9,37,-2.8,3.84,2,31,,11.6,149,16,41.4,,24.1,11
DL,25,Josh Allen,JAC,7,50.1,59.7,74.7,14.1,24,-6.64,0.479,2,29,,7.73,177,17,13.9,,24.6,7
DL,26,Josh Allen,JAC,7,50.1,59.7,74.7,14.1,41,-6.64,0.479,2,29,,7.73,177,17,53.4,,24.6,7
DL,27,Jonathan Greenard,PHI,10,47.4,59.2,75.7,15.6,34,-7.12,0.0289,2,29,,3.65,181,18,29.7,O,28.3,6
DL,28,Jonathan Greenard,PHI,10,47.4,59.2,75.7,15.6,79,-7.12,0.0289,2,29,,3.65,181,18,97.5,O,28.3,6
DL,29,Derrick Brown,CAR,5,46.1,59.2,82.4,21.6,76,-7.15,0.0793,2,28,,3.7,183,19,41.8,Q,36.3,6
DL,30,DeForest Buckner,IND,13,42.5,59.1,85,24.2,91,-7.22,1.14,2,32,,3.86,184,20,24.8,,42.5,10
DL,31,Nathan Shepherd,NO,8,,58,,,,-8.37,0.243,2,32,,,192,21,,,,8
